# TC	P MPa	Mass g		SiO2	TiO2	Al2O3	Fe2O3	Cr2O3	FeO	MgO	CaO	Na2O	K2O	P2O5	H2O
761.00	100.00	5.14		69.47	0.42	2.29	1.19	0.00	3.17	0.00	4.77	12.83	0.41	1.56	3.89
760.00	100.00	5.13		69.50	0.42	2.28	1.18	0.00	3.14	0.00	4.78	12.84	0.41	1.56	3.90
759.00	100.00	5.12		69.53	0.43	2.26	1.17	0.00	3.11	0.00	4.78	12.85	0.41	1.56	3.90
758.00	100.00	5.11		69.56	0.43	2.24	1.17	0.00	3.08	0.00	4.78	12.86	0.41	1.56	3.91
757.00	100.00	5.11		69.59	0.43	2.23	1.16	0.00	3.05	0.00	4.79	12.87	0.41	1.57	3.92
756.00	100.00	5.10		69.62	0.43	2.21	1.16	0.00	3.02	0.00	4.79	12.88	0.41	1.57	3.92
755.00	100.00	5.09		69.65	0.43	2.19	1.15	0.00	2.99	0.00	4.79	12.89	0.41	1.57	3.93
754.00	100.00	5.09		69.67	0.43	2.18	1.15	0.00	2.96	0.00	4.80	12.90	0.41	1.57	3.93
753.00	100.00	5.08		69.70	0.43	2.16	1.14	0.00	2.93	0.00	4.80	12.91	0.41	1.57	3.94
752.00	100.00	5.07		69.73	0.43	2.15	1.13	0.00	2.90	0.00	4.80	12.92	0.41	1.58	3.94
751.00	100.00	5.07		69.76	0.43	2.13	1.13	0.00	2.88	0.00	4.81	12.93	0.41	1.58	3.95
750.00	100.00	5.06		69.79	0.43	2.11	1.12	0.00	2.85	0.00	4.81	12.94	0.41	1.58	3.95
749.00	100.00	5.05		69.82	0.43	2.10	1.12	0.00	2.82	0.00	4.81	12.95	0.41	1.58	3.96
748.00	100.00	5.05		69.84	0.43	2.08	1.11	0.00	2.79	0.00	4.82	12.96	0.41	1.59	3.96
747.00	100.00	5.04		69.87	0.43	2.07	1.11	0.00	2.77	0.00	4.82	12.97	0.41	1.59	3.97
746.00	100.00	5.03		69.90	0.43	2.05	1.10	0.00	2.74	0.00	4.82	12.97	0.41	1.59	3.97
745.00	100.00	5.03		69.93	0.43	2.04	1.10	0.00	2.71	0.00	4.83	12.98	0.41	1.59	3.98
744.00	100.00	5.02		69.95	0.43	2.02	1.09	0.00	2.69	0.00	4.83	12.99	0.41	1.59	3.98
743.00	100.00	5.01		69.98	0.43	2.01	1.09	0.00	2.66	0.00	4.83	13.00	0.41	1.60	3.99
742.00	100.00	5.01		70.00	0.44	1.99	1.08	0.00	2.63	0.00	4.84	13.01	0.41	1.60	3.99
741.00	100.00	5.00		70.03	0.44	1.98	1.08	0.00	2.61	0.00	4.84	13.02	0.42	1.60	4.00
740.00	100.00	5.00		70.06	0.44	1.96	1.07	0.00	2.58	0.00	4.84	13.03	0.42	1.60	4.00
739.00	100.00	4.99		70.08	0.44	1.95	1.07	0.00	2.56	0.00	4.85	13.04	0.42	1.60	4.01
738.00	100.00	4.98		70.11	0.44	1.93	1.06	0.00	2.53	0.00	4.85	13.04	0.42	1.61	4.01
737.00	100.00	4.98		70.13	0.44	1.92	1.06	0.00	2.51	0.00	4.85	13.05	0.42	1.61	4.02
736.00	100.00	4.97		70.16	0.44	1.90	1.05	0.00	2.48	0.00	4.85	13.06	0.42	1.61	4.02
735.00	100.00	4.97		70.18	0.44	1.89	1.05	0.00	2.46	0.00	4.86	13.07	0.42	1.61	4.03
734.00	100.00	4.96		70.20	0.44	1.88	1.04	0.00	2.43	0.00	4.86	13.08	0.42	1.61	4.03
733.00	100.00	4.95		70.23	0.44	1.86	1.04	0.00	2.41	0.00	4.86	13.09	0.42	1.61	4.04
732.00	100.00	4.95		70.25	0.44	1.85	1.04	0.00	2.39	0.00	4.87	13.09	0.42	1.62	4.04
731.00	100.00	4.94		70.28	0.44	1.83	1.03	0.00	2.36	0.00	4.87	13.10	0.42	1.62	4.05
730.00	100.00	4.94		70.30	0.44	1.82	1.03	0.00	2.34	0.00	4.87	13.11	0.42	1.62	4.05
729.00	100.00	4.93		70.32	0.44	1.81	1.02	0.00	2.32	0.00	4.88	13.12	0.42	1.62	4.05
728.00	100.00	4.93		70.35	0.44	1.79	1.02	0.00	2.29	0.00	4.88	13.12	0.42	1.62	4.06
727.00	100.00	4.92		70.37	0.44	1.78	1.01	0.00	2.27	0.00	4.88	13.13	0.42	1.63	4.06
726.00	100.00	4.92		70.39	0.44	1.77	1.01	0.00	2.25	0.00	4.88	13.14	0.42	1.63	4.07
725.00	100.00	4.91		70.41	0.44	1.75	1.01	0.00	2.23	0.00	4.89	13.15	0.42	1.63	4.07
724.00	100.00	4.91		70.44	0.44	1.74	1.00	0.00	2.20	0.00	4.89	13.15	0.42	1.63	4.08
723.00	100.00	4.90		70.46	0.44	1.73	1.00	0.00	2.18	0.00	4.89	13.16	0.42	1.63	4.08
722.00	100.00	4.90		70.48	0.45	1.72	0.99	0.00	2.16	0.00	4.90	13.17	0.42	1.63	4.09
721.00	100.00	4.89		70.50	0.45	1.70	0.99	0.00	2.14	0.00	4.90	13.18	0.42	1.64	4.09
